"","charge_s","offense_date","sum_arrests"
"1","Burglary Two",2020-05-31,17
"2","Riot Act -Felony",2020-05-31,16
"3","Assault On A Police Officer",2020-05-31,3
"4","Curfew Violation",2020-05-31,3
"5","Receiving Stolen Property-Misd",2020-05-31,3
"6","Curfew Violation",2020-06-01,286
"7","Riot Act -Felony",2020-06-01,28
"8","Burglary Two",2020-06-01,26
"9","Unlawful Entry",2020-06-01,7
"10","Unlawful Assembly-Disorderly Conduct",2020-06-01,4
"11","Curfew Violation",2021-01-06,57
"12","Unlawful entry",2021-01-06,26
"13","Possession of a Large Capacity Ammunition Feeding Device (and)",2021-01-06,4
"14","Carrying a Pistol Without a License (Outside Home or Place of Business) 2015",2021-01-06,3
"15","Possession of Unregistered Ammunition",2021-01-06,3
